state_name,district_name,data_completeness_score,data_confidence_tier,macro_population,macro_literacy_rate,macro_economic_establishments,macro_economic_employees,macro_nightlights_mean,chronic_diabetes_prevalence,chronic_hypertension_prevalence,chronic_cancer_incidence_aar,infra_hospitals_count,infra_phc_chc_count,infra_pmbjp_kendra_count,climate_rainfall_annual_mm,climate_rainfall_volatility,climate_rainfall_deviation_pct
ANDHRA PRADESH,WEST GODAVARI,78.57142857142857,MEDIUM,90.46875,66.09375,95.0,92.65625,55.3125,86.328125,66.875,5.625,83.59375,81.25,47.34375,68.4375,53.59374999999999,61.25000000000001
ANDHRA PRADESH,KRISHNA,78.57142857142857,MEDIUM,94.84375,63.90625,96.875,97.03125,68.59375,86.328125,66.875,12.34375,72.65625,82.8125,35.546875,45.15625,39.375,33.90625
ANDHRA PRADESH,GUNTUR,78.57142857142857,MEDIUM,96.71875,44.0625,94.84375,95.3125,59.53125,92.65625,93.046875,6.5625,85.15625,89.375,63.28125,37.5,26.25,72.03125
ANDHRA PRADESH,PRAKASAM,78.57142857142857,MEDIUM,84.84375,28.125,93.90625,93.28125,29.531249999999996,86.328125,66.875,15.78125,82.8125,75.0,47.34375,33.90625,12.5,82.5
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,71.42857142857143,MEDIUM,80.3125,49.6875,92.34375,90.46875,47.96875,86.328125,66.875,15.312500000000002,72.8125,73.59375,26.25,2.34375,2.34375,82.65625
ANDHRA PRADESH,YSR KADAPA,50.0,LOW,79.53125,39.84375,85.15625,85.3125,26.718750000000004,86.328125,66.875,25.46875,82.5,71.09375,77.1875,61.5625,62.81250000000001,78.75
ANDHRA PRADESH,KURNOOL,78.57142857142857,MEDIUM,91.71875,17.34375,93.4375,94.21875,26.875,66.5625,94.53125,15.625,69.6875,85.0,59.53125,16.875,11.5625,53.43750000000001
ANDHRA PRADESH,ANANTAPUR,71.42857142857143,MEDIUM,92.03125,29.531249999999996,95.46875,93.75,29.843750000000004,35.9375,65.46875,6.09375,54.37499999999999,90.3125,75.78125,16.71875,21.71875,67.8125
ANDHRA PRADESH,CHITTOOR,78.57142857142857,MEDIUM,92.8125,55.78125000000001,94.375,94.84375,52.1875,78.046875,64.84375,12.5,83.125,85.15625,41.953125,42.34375,14.374999999999998,91.71875
KARNATAKA,BELGAUM,57.14285714285714,LOW,96.25,55.46875,82.5,83.90625,47.8125,23.75,48.203125,10.625,52.5,92.34375,84.0625,45.46875,63.74999999999999,69.0625
KARNATAKA,BAGALKOT,85.71428571428571,MEDIUM,61.25000000000001,37.34375,63.74999999999999,67.34375,46.25,22.34375,44.21875,48.4375,91.171875,66.71875,69.453125,5.0,5.15625,72.96875
KARNATAKA,BIJAPUR,50.0,LOW,67.34375,31.25,59.84374999999999,55.46875,35.15625,24.84375,46.953125,33.4375,50.78125,63.59375000000001,62.03125000000001,60.46875000000001,61.5625,51.5625
KARNATAKA,BIDAR,92.85714285714286,HIGH,55.3125,46.71875,44.21875,50.78125,50.9375,10.078125,54.53125,49.84375,77.96875,70.390625,71.953125,52.81249999999999,58.90625000000001,80.78125
KARNATAKA,RAICHUR,92.85714285714286,HIGH,62.03125000000001,13.4375,52.81249999999999,53.90625,46.875,3.9843749999999996,31.874999999999996,40.0,77.96875,66.71875,74.765625,20.9375,17.8125,39.21875
KARNATAKA,KOPPAL,92.85714285714286,HIGH,45.3125,35.0,35.78125,35.9375,44.53125,20.9375,48.59375,55.93749999999999,62.890625,61.40624999999999,68.125,25.624999999999996,18.90625,41.09375
KARNATAKA,GADAG,92.85714285714286,HIGH,33.28125,61.875,31.874999999999996,40.0,34.84375,24.296875,55.859375,72.1875,77.96875,46.484375,52.03124999999999,47.03125,29.843750000000004,73.90625
KARNATAKA,DHARWAD,92.85714285714286,HIGH,60.15625,75.0,63.4375,66.25,63.59375000000001,27.890625000000004,68.28125,50.0,77.96875,57.89062499999999,79.921875,49.6875,25.78125,77.8125
KARNATAKA,UTTARA KANNADA,92.85714285714286,HIGH,46.25,88.59375,52.5,57.49999999999999,15.0,25.703125,72.5,60.15625,97.421875,86.171875,73.125,91.875,95.625,12.5
KARNATAKA,HAVERI,92.85714285714286,HIGH,51.24999999999999,67.8125,50.15625,49.53125,48.75,27.890625000000004,55.00000000000001,47.65625,93.75,79.375,84.53125,58.4375,42.03125,86.25
KARNATAKA,BELLARY,57.14285714285714,LOW,71.875,33.75,71.5625,77.96875,64.84375,8.046875,49.296875,39.21875,26.09375,69.84375,65.625,59.21875,64.0625,38.125
KARNATAKA,CHITRADURGA,92.85714285714286,HIGH,53.75,60.46875000000001,45.15625,45.78125,44.6875,31.796875000000004,95.46875,47.5,91.171875,90.46875,56.56250000000001,40.0,24.375,95.9375
KARNATAKA,DAVANAGERE,92.85714285714286,HIGH,62.5,65.78125,57.8125,54.53125,52.81249999999999,41.25,88.515625,37.8125,87.734375,89.0625,80.46875,51.87500000000001,31.25,90.78125
KARNATAKA,SHIMOGA,78.57142857142857,MEDIUM,57.1875,79.6875,69.21875,69.375,25.78125,37.578125,91.875,44.6875,91.171875,94.765625,82.65625,69.53125,67.65625,73.28125
KARNATAKA,UDUPI,92.85714285714286,HIGH,37.34375,94.6875,67.34375,70.9375,21.5625,50.07812499999999,96.5625,70.15625,62.890625,71.875,91.875,98.59375,98.90625,55.15624999999999
KARNATAKA,CHIKMAGALUR,92.85714285714286,HIGH,36.40625,79.21875,62.81250000000001,64.375,21.09375,36.484375,93.671875,68.59375,93.75,90.15625,70.546875,86.09375,85.3125,90.3125
