rhs_state_name,rhs_district_name,rhs_sub_centres,rhs_phcs,rhs_chcs,rhs_sdh,rhs_dh
DELHI,REASI,103,33,2,0,1
DELHI,SAMBA,82,21,3,0,1
DELHI,SHOPIAN,57,16,2,0,1
DELHI,SRINAGAR,25,69,1,0,1
DELHI,UDHAMPUR,146,49,2,0,1
LADAKH,KARGIL,150,16,4,0,1
LADAKH,LEH LADAKH,138,17,3,0,1
LAKSHADWEEP,LAKSHADWEEP DISTRICT,9,4,3,2,1
PUDUCHERRY,KARAIKAL,17,11,1,0,1
PUDUCHERRY,MAHE,4,1,1,0,1
PUDUCHERRY,PONDICHERRY,56,27,2,0,1
PUDUCHERRY,YANAM,4,0,0,0,1
